LTR10_chr	LTR10_start	LTR10_end	LTR10_subfamily	LTR10_divergence	LTR10_strand	FOSL1_peak_score	H3K27ac_peak_score
chr13	62643177	62643536	LTR10F	95	+	265.20422	126
chr13	62643132	62643178	LTR10F	87	+	265.20422	126
chr13	62642893	62643132	LTR10F	160	+	265.20422	126
chr2	81658130	81658684	LTR10F	133	-	256.53464	299
chr6	4487537	4488098	LTR10A	154	+	254.47334	84
chr1	202483496	202483721	LTR10A	178	-	229.88823	83
chr2	119111519	119112030	LTR10A	153	-	228.67201	60
chr13	110965259	110965842	LTR10F	151	+	224.48285	333
chr6	29845346	29845909	LTR10A	215	+	221.96965	53
chr5	43336124	43336643	LTR10F	97	-	220.85428	122
chr4	107419429	107420005	LTR10F	189	+	220.34009	60
chr2	61598394	61598902	LTR10F	71	-	218.0002	160
chr16	12613621	12614158	LTR10A	146	+	213.34711	108
chr5	82975595	82976282	LTR10F	205	-	212.42471	185
chr19	9596877	9597349	LTR10F	133	-	212.04485	139
chr1	156398637	156398705	LTR10A	167	+	199.32327	644
chr1	156398474	156398588	LTR10A	167	+	199.32327	644
chr2	86695051	86695578	LTR10A	149	+	198.57236	146
chr7	150990665	150991176	LTR10A	136	-	195.20906	70
chr14	48563451	48563977	LTR10A	129	+	195.04739	169
chrX	65932452	65933055	LTR10F	151	-	194.32602	183
chr5	43315210	43315699	LTR10F	74	-	194.18939	152
chr8	6649479	6649743	LTR10A	218	-	190.15605	178
chr8	6649405	6649479	LTR10A	176	-	190.15605	178
chr8	6649329	6649406	LTR10A	169	-	190.15605	178
chr8	6649262	6649327	LTR10A	154	-	190.15605	178
chr8	6649214	6649261	LTR10A	170	-	190.15605	178
chr8	6649147	6649212	LTR10A	216	-	190.15605	178
chr8	6649013	6649071	LTR10A	203	-	190.15605	178
chr8	6648609	6649008	LTR10A	174	-	190.15605	178
chr12	63419098	63419690	LTR10F	135	+	186.19772	84
chr1	114473273	114473733	LTR10F	87	-	184.88693	544
chr3	16101335	16101889	LTR10F	142	-	179.92828	326
chr7	12066555	12067136	LTR10A	214	+	178.92583	246
chr7	12065869	12066334	LTR10A	186	-	178.92583	246
chr5	82969115	82969614	LTR10F	114	-	178.30374	224
chr16	1296821	1297312	LTR10A	134	-	176.71924	172
chr14	70636081	70636594	LTR10A	162	-	175.56279	117
chr18	50240276	50240667	LTR10F	161	+	173.93523	236
chr18	50240192	50240292	LTR10F	132	+	173.93523	236
chr18	50239948	50240207	LTR10F	118	+	173.93523	236
chr3	166663143	166663700	LTR10A	151	+	169.37392	69
chr1	236097333	236097570	LTR10A	145	-	168.85468	1266
